Device ID, Warm?, Sync, Arm, Timestamp, Orientation_W, Orientation_X, Orientation_Y, Orientation_Z, Acc_X, Acc_Y, Acc_Z, Gyro_X, Gyro_Y, Gyro_Z, Pose, EMG_1, EMG_2, EMG_3, EMG_4, EMG_5, EMG_6, EMG_7, EMG_8,Locked, RSSI, Roll, Pitch, Yaw 
1757856854048,cold,True,right,2025-02-21 12:30:12 531509,0.9334716796875,-0.267822265625,-0.18927001953125,0.14520263671875,-0.224609375,-0.64501953125,0.09912109375,3.25,-2.6875,-4.25,rest,1,13,17,0,-12,-1,-4,9,False,0,-0.6154530340488874,-0.27919239756229536,0.3978854039872005
1757856854048,cold,True,right,2025-02-21 12:30:12 545970,0.933349609375,-0.2686767578125,-0.188232421875,0.14556884765625,0.181640625,-0.64013671875,0.8603515625,-1.9375,-0.9375,-0.75,rest,-8,-8,-16,-14,0,-4,-3,-3,False,0,-0.6166928028650174,-0.27666747931347774,0.3980524487661751
1757856854048,cold,True,right,2025-02-21 12:30:12 545970,0.933349609375,-0.2686767578125,-0.188232421875,0.14556884765625,0.181640625,-0.64013671875,0.8603515625,-1.9375,-0.9375,-0.75,rest,8,8,-25,-8,-5,-3,-3,-8,False,0,-0.6166928028650174,-0.27666747931347774,0.3980524487661751
1757856854048,cold,True,right,2025-02-21 12:30:12 553166,0.933349609375,-0.2686767578125,-0.188232421875,0.14556884765625,0.181640625,-0.64013671875,0.8603515625,-1.9375,-0.9375,-0.75,rest,-19,-8,2,-3,1,-1,-7,-10,False,0,-0.6166928028650174,-0.27666747931347774,0.3980524487661751
1757856854048,cold,True,right,2025-02-21 12:30:12 553166,0.933349609375,-0.2686767578125,-0.188232421875,0.14556884765625,0.181640625,-0.64013671875,0.8603515625,-1.9375,-0.9375,-0.75,rest,12,8,-9,0,-2,-2,21,18,False,0,-0.6166928028650174,-0.27666747931347774,0.3980524487661751
1757856854048,cold,True,right,2025-02-21 12:30:12 567164,0.93377685546875,-0.26763916015625,-0.1883544921875,0.144775390625,0.32421875,-0.5068359375,0.79248046875,2.5,2.6875,-2.875,rest,3,29,29,12,-10,-5,-12,-7,False,0,-0.6144062441522133,-0.27782739376506627,0.3962907805985627
1757856854048,cold,True,right,2025-02-21 12:30:12 567164,0.93377685546875,-0.26763916015625,-0.1883544921875,0.144775390625,0.32421875,-0.5068359375,0.79248046875,2.5,2.6875,-2.875,rest,4,12,13,-2,-1,-2,1,16,False,0,-0.6144062441522133,-0.27782739376506627,0.3962907805985627
1757856854048,cold,True,right,2025-02-21 12:30:12 608712,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,12,14,5,22,17,-2,1,-7,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 608712,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,5,16,-26,-23,-9,0,-1,6,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 608712,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,-33,-27,20,2,-16,-8,-5,-4,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 608712,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,-4,-11,-21,-24,-9,2,7,13,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 609721,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,4,-6,26,0,3,2,2,4,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
1757856854048,cold,True,right,2025-02-21 12:30:12 609721,0.93365478515625,-0.26708984375,-0.19024658203125,0.14385986328125,0.26904296875,-0.529296875,0.7431640625,-1.0625,-4.125,-3.8125,rest,8,4,-6,10,2,-2,-5,-1,False,0,-0.6141550327663852,-0.28213018567443154,0.39575022503461105
